id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
20,YEM-2011-1-784-130,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-09-07, Suspected Al-Qaeda militants kill six Yemen troops",,,,A military source and a medical official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,9/7/2011,9/7/2011,8,14,1,0,23,23,23
21,YEM-2010-1-784-30,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2010-08-21, Yemen forces kill 5 al Qaeda fighters after clashes///BBC Monitoring Middle East, 2010-08-22, Ambush targeting Yemeni forces kills seven Al-Qa'idah elements",,,,Defence Ministry,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,8/21/2010,8/21/2010,0,7,0,0,7,7,7
22,YEM-2010-1-784-23,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2010-07-22,  Five Yemeni soldiers killed in Qaeda-style ambush: official/// Reuters News, 2010-08-07, UPDATE 1-Al Qaeda claims attacks in Yemen oil province -Web",,,,A security official,1,‘Ataq town,‘Ataq town,Shabwah governorate,‘Ataq district,14.537665,46.831868,POINT (46.831868 14.537665),150934,Yemen (North Yemen),678,Middle East,1,1,7/22/2010,7/22/2010,5,0,0,0,5,5,5
23,YEM-2011-1-784-53,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-06-05,  Qaeda ambushes kill 9 soldiers in Yemen: military",,,,A military official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,6/4/2011,6/4/2011,6,0,0,0,6,6,6
24,YEM-2011-1-784-54,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2011-06-05,  Qaeda ambushes kill 9 soldiers in Yemen: military",,,,A military official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,6/4/2011,6/4/2011,3,0,0,0,3,3,3
25,YEM-2009-1-784-3,2009,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,1,"""HRW,2013-10-01,“BETWEEN A DRONE AND AL-QAEDA”""",HRW,10/1/2013,“BETWEEN A DRONE AND AL-QAEDA”,A security source / A local Yemeni official,3,Al Maḩfid district,Al Maḩfid district (Al-Maajala village in),Abyan governorate,Al Maḩfid district,14.01847,46.755958,POINT (46.755958 14.01847),150214,Yemen (North Yemen),678,Middle East,1,1,12/17/2009,12/17/2009,0,14,41,0,55,59,55
27,YEM-2012-1-784-198,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2012-07-01, UPDATE 2-Two killed in Yemen as army pursues militants",,,,A local official,4,aḑ-Ḑāli‘ governorate,aḑ-Ḑāli‘ governorate,aḑ-Ḑāli‘ governorate,,13.922541,44.76827,POINT (44.76827 13.9225416),149490,Yemen (North Yemen),678,Middle East,1,1,6/30/2012,6/30/2012,0,2,0,0,2,2,2
28,YEM-1994-1-375-49,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-06 ""Up to 10 people killed in shelling of Aden",,,,"Aid workers, witnesses",1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,2,6/5/1994,6/6/1994,0,0,0,3,3,10,3
29,YEM-1994-1-375-61,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-17 ""N.Yemenis blast Aden with rockets and shells",,,,Hospital sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/17/1994,6/17/1994,0,0,0,4,4,4,4
32,YEM-1994-1-375-62,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-18 ""Northern Yemenis unlikely to attend truce talks",,,,Unclear,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,2,2,6/16/1994,6/18/1994,0,0,0,0,0,9,0
34,YEM-2010-1-784-5,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2010-01-20, Yemen says al Qaeda militant killed in clash",,,,State media,4,Laḩij governorate,Laḩij governorate,Laḩij governorate,,13.166667,44.583332,POINT (44.5833321 13.166667),148770,Yemen (North Yemen),678,Middle East,1,1,1/19/2010,1/19/2010,0,1,0,0,1,1,1
35,YEM-2012-1-784-106,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2012-05-03, Saleh relative quits Yemen army, fighting flares",,,,A security official,1,Lawdar town,Lawdar town,Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,5/3/2012,5/3/2012,0,5,0,0,5,5,5
36,YEM-2012-1-784-130,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-05-15, Anti-Qaeda sweep kills 53 across south Yemen",,,,Tribes,1,Lawdar town,Lawdar town,Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,5/15/2012,5/15/2012,0,12,0,0,12,12,12
37,YEM-2012-1-784-105,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2012-05-03, Saleh relative quits Yemen army, fighting flares",,,,"Nazar Jaafar, a leader in an army-allied tribal force",2,Lawdar town,Lawdar town (near),Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,5/3/2012,5/3/2012,0,4,0,0,4,4,4
38,YEM-1994-1-375-43,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-02 ""S.Yemen calls on U.N to force north into ceasefire",,,,Southern Vice-President,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/2/1994,6/2/1994,0,0,0,2,2,2,2
39,YEM-1994-1-375-64,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-18 ""Fighting near Aden, planned talks fall through",,,,"Official statement, residents",1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/18/1994,6/18/1994,0,0,0,20,20,20,20
42,YEM-1994-1-375-57,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-13 ""Ten civilians killed in Aden shelling",,,,Southern defence ministry,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/13/1994,6/13/1994,0,0,10,0,10,10,10
43,YEM-1994-1-375-58,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-15 ""North Yemen fires missiles at Aden, official says",,,,Southern officials,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,2,2,6/13/1994,6/14/1994,0,0,3,0,3,3,3
45,YEM-1994-1-375-66,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-20 ""Yemen's south urged U.N. help in ending war",,,,Residents,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,2,6/19/1994,6/20/1994,0,0,0,18,18,18,18
46,YEM-1994-1-375-70,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-22 ""Battles rage around Aden, residential areas hit",,,,Hospital sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,2,6/21/1994,6/22/1994,0,0,0,11,11,11,11
47,YEM-1994-1-375-75,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-24 ""UN Council may offer observers for Yemen",,,,Reuters,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/24/1994,6/24/1994,0,0,0,11,11,11,11
48,YEM-1994-1-375-71,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-22 ""South Yemen says 200 killed in Aden",,,,Southern vice-presiden,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,2,3,6/16/1994,6/22/1994,0,0,0,0,0,89,0
49,YEM-1994-1-375-73,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"AFP 1994-06-24/ BBC 1994-06-25 ""NORTHERN TROOPS SAID ""MARKING TIME"" ON OUTSKIRTS OF ADEN",,,,Hospital sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/23/1994,6/23/1994,0,0,0,30,30,30,30
50,YEM-2012-1-784-124,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-05-14, Yemen battles rage, 37 Qaeda militants reported killed",,,,A tribal source,2,Shuqrah town,Shuqrah town (area),Abyan governorate,Khanfir district,13.35677,45.697085,POINT (45.697085 13.35677),148772,Yemen (North Yemen),678,Middle East,1,1,5/14/2012,5/14/2012,0,10,0,0,10,10,10
52,YEM-1994-1-375-77,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-25 ""North Yemen makes new ceasefire announcement""; ""Northern Yemeni shelling hits Aden suburb",,,,"Hospital sources, military statement",1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/25/1994,6/25/1994,0,0,3,0,3,3,3
53,YEM-1994-1-375-78,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-26 ""Yemeni rivals blame each other for Aden fighting",,,,Hospital sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/26/1994,6/26/1994,0,0,0,15,15,15,15
54,YEM-1994-1-375-85,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-29 ""Aden under heavy shelling all night""; ""Northern Yemenis launch fresh push against Aden",,,,"Southern official; hospital sources, residents",1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,2,6/28/1994,6/29/1994,0,0,0,17,17,40,17
56,YEM-1994-1-375-87,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-07-02 ""Aden's people hunt for water as shells fall",,,,Hospital sources,2,‘Adan town,‘Adan town (northern and western suburbs),‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,7/2/1994,7/2/1994,0,0,0,6,6,6,6
58,YEM-1994-1-375-30,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-05-22 ""Northern Yemeni missile kills civilians in Aden""; ""N.Yemenis try to ground southern planes",,,,"Witnesses, relief worker",1,‘Adan town,‘Adan town (al-Madina al-Baida area),‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,5/22/1994,5/22/1994,0,0,3,5,8,8,8
62,YEM-1994-1-375-88,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-07-03 ""Rockets kill people digging for water in Aden",,,,Witnesses and hospital sources,1,‘Adan town,‘Adan town (central Khawr Maksar area),‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,7/3/1994,7/3/1994,0,0,4,13,17,17,17
63,YEM-1994-1-375-68,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-21 ""Shells pound Aden amid calls for humanitarian aid",,,,Hospital sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/21/1994,6/21/1994,0,0,1,1,2,2,2
67,YEM-1994-1-375-86,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-07-01 ""North Yemeni shell hits Aden school, kills five""; 1994-07-02 ""Fresh shelling in Aden, water shortage acute",,,,Hospital sources,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,7/1/1994,7/1/1994,0,0,5,12,17,17,17
68,YEM-1994-1-375-80.1,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-27 ""Battles rage around Aden""; AFP 1994-06-28/ BBC 1994-06-29 ""ADEN SIEGE CONTINUES; SOUTH CLAIMS NORTHERN AIRCRAFT DOWNED",,,,Hospital sources,1,Ash Shaykh ‘Uthmān town,Ash Shaykh ‘Uthmān town,‘Adan governorate,Ash Shaykh ‘Uthmān district,12.876777,44.993094,POINT (44.993094 12.876777),148050,Yemen (North Yemen),678,Middle East,1,1,6/27/1994,6/27/1994,0,0,3,0,3,3,3
70,YEM-1994-1-375-80.2,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-06-27 ""Battles rage around Aden""; AFP 1994-06-28/ BBC 1994-06-29 ""ADEN SIEGE CONTINUES; SOUTH CLAIMS NORTHERN AIRCRAFT DOWNED",,,,Hospital sources,1,Al Manşūrah town,Al Manşūrah town,‘Adan governorate,Al Manşūrah district,12.860191,44.981665,POINT (44.981665 12.860191),148050,Yemen (North Yemen),678,Middle East,1,1,6/27/1994,6/27/1994,0,0,3,0,3,3,3
71,YEM-2011-1-784-158,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2011-10-22, Al-Qa'idah gunmen attack Yemeni army forces",,,,Saudi-owned leading pan-Arab daily Al-Sharq al-Awsat website on 21 October,1,Zinjibār town,Zinjibār town,Abyan governorate,Zinjibār district,13.128712,45.380728,POINT (45.380728 13.128712),148771,Yemen (North Yemen),678,Middle East,1,1,10/20/2011,10/20/2011,1,0,0,0,1,1,1
72,YEM-2011-1-784-141,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-09-15, UPDATE 2-Explosions shake Yemen capital, blasts in south",,,,A security official,2,Zinjibār town,Zinjibār town (near),Abyan governorate,Zinjibār district,13.128712,45.380728,POINT (45.380728 13.128712),148771,Yemen (North Yemen),678,Middle East,1,1,9/15/2011,9/15/2011,0,2,0,0,2,2,2
73,YEM-2010-1-784-20,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2010-06-19, 11 killed in suspected Qaeda attack in Yemen",,,,Officials,1,‘Adan town,‘Adan town,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,6/19/2010,6/19/2010,7,0,0,4,11,11,11
